,No.,Name,Sell Price,Time of Year,Time of Day,Conditions
0,31,Salmon,700,N：SeptS：Mar,All day,
1,32,King salmon,1800,N：SeptS：Mar,All day,
2,46,Sturgeon,10000,N：Sept ~ MarS：Mar ~ Sept,All day,
0,27,Cherry salmon,1000,"N：Mar ~ June, Sept ~ NovS：Sept ~ May",4pm ~ 9am,
1,28,Char,3800,"N：Mar ~ June, Sept ~ NovS：Sept ~ May",4pm ~ 9am,
2,29,Golden trout,15000,"N：Mar ~ May, Sept ~ NovS：Sept ~ May",4pm ~ 9am,
3,30,String fish,15000,N：Dec ~ MarS：June ~ Sept,4pm ~ 9am,
0,66,Tuna,7000,N：Jan ~ AprS：May ~ Nov,All day,
1,67,Blue marlin,10000,"N：Jan ~ Apr, July ~ SeptS：May ~ Nov",All day,
2,68,Giant trevally,4500,N：May ~ OctS：Nov ~ Apr,All day,
3,69,Mahi-mahi,12000,N：May ~ OctS：Nov ~ Apr,All day,
